code4Digits,code6Digits,code8Digits,descriptionBa,descriptionEn,descriptionDe,descriptionHr,descriptionSr,chapter,heading,dutyRate,vatRate,excise,materialComposition,processingMethod,endUse,isActive
0105,0105.11,0105.11.11,– – – – za nosilice,– – – – for stretchers,– – – – für Tragen,– – – – za nosilice,– – – – za nosilice,1,0105,kd,17%,,,,,true
0105,0105.11,0105.11.19,– – – – ostali,– – – – others,– – – – andere,– – – – ostali,– – – – ostali,1,0105,kd,17%,,,,,true
0105,0105.11,0105.11.91,– – – – nosilice,– – – – stretchers,– – – – Tragen,– – – – nosilice,– – – – nosilice,1,0105,kd,17%,,,,,true
0105,0105.11,0105.11.99,– – – – ostale,– – – – other,- - - - andere,– – – – ostale,– – – – ostale,1,0105,kd,17%,,,,,true
0105,0105.12,0105.12.00,– – ćurke,– – turkeys,– – Truthähne,– – ćurke,– – ćurke,1,0105,kd,17%,,,,,true
0105,0105.13,0105.13.00,– – patke,– – ducks,– – Enten,– – patke,– – patke,1,0105,kd,17%,,,,,true
0105,0105.14,0105.14.00,– – guske,– – geese,– – Gänse,– – guske,– – guske,1,0105,kd,17%,,,,,true
0105,0105.15,0105.15.00,– – biserke,– – guinea fowl,– – Perlhuhn,– – biserke,– – biserke,1,0105,kd,17%,,,,,true
0105,0105.94,0105.94.00,– – kokoški vrste Gallus domesticus (4),– – chickens of the species Gallus domesticus (4),– – Hühner der Art Gallus domesticus (4),– – kokoški vrste Gallus domesticus (4),– – kokoški vrste Gallus domesticus (4),1,0105,kd,17%,,,,,true
0105,0105.99,0105.99.10,– – – patke,– – – ducks,– – – Enten,– – – patke,– – – patke,1,0105,kd,17%,,,,,true
0105,0105.99,0105.99.20,– – – guske,– – – geese,– – – Gänse,– – – guske,– – – guske,1,0105,kd,17%,,,,,true
0105,0105.99,0105.99.30,– – – ćurke,– – – turkeys,– – – Truthähne,– – – ćurke,– – – ćurke,1,0105,kd,17%,,,,,true
0105,0105.99,0105.99.50,– – – biserke,– – – guinea fowl,– – – Perlhuhn,– – – biserke,– – – biserke,1,0105,kd,17%,,,,,true
0106,0106.11,0106.11.00,– – primati,– – receive,- - erhalten,– – primati,– – primati,1,0106,kd,17%,,,,,true
0106,0106.12,0106.12.00,"– – kitovi, delfini i pliskavice (sisari iz roda","– – Whales, dolphins and porpoises (mammals of the genus","– – Wale, Delfine und Schweinswale (Säugetiere der Gattung","– – kitovi, delfini i pliskavice (sisari iz roda","– – kitovi, delfini i pliskavice (sisari iz roda",1,0106,kd,17%,,,,,true
0106,0106.13,0106.13.00,– – kamile i ostale vrste (iz roda Camelidae),– – camels and other species (of the genus Camelidae),– – Kamele und andere Arten (der Gattung Camelidae),– – kamile i ostale vrste (iz roda Camelidae),– – kamile i ostale vrste (iz roda Camelidae),1,0106,kd,17%,,,,,true
0106,0106.14,0106.14.10,– – – domaći kunići,– – – domestic rabbits,– – – Hauskaninchen,– – – domaći kunići,– – – domaći kunići,1,0106,kd,17%,,,,,true
0106,0106.14,0106.14.90,– – – ostali,– – – others,– – – andere,– – – ostali,– – – ostali,1,0106,–,17%,,,,,true
0106,0106.19,0106.19.00,– – ostali,– – others,– – andere,– – ostali,– – ostali,1,0106,–,17%,,,,,true
0106,0106.20,0106.20.00,– gmizavci (uključujući zmije i kornjače),– reptiles (including snakes and turtles),– Reptilien (einschließlich Schlangen und Schildkröten),– gmizavci (uključujući zmije i kornjače),– gmizavci (uključujući zmije i kornjače),1,0106,kd,17%,,,,,true
0106,0106.31,0106.31.00,– – ptice grabljivice,– – birds of prey,– – Greifvögel,– – ptice grabljivice,– – ptice grabljivice,1,0106,kd,17%,,,,,true
0106,0106.32,0106.32.00,"– – psitako–vrste (uključujući papige, papigice sa","– – psitaco-species (including parrots, parakeets with","– – Psitako-Arten (einschließlich Papageien, Sittiche mit","– – psitako–vrste (uključujući papige, papigice sa","– – psitako–vrste (uključujući papige, papigice sa",1,0106,kd,17%,,,,,true
0106,0106.33,0106.33.00,– – nojevi; emui (Dromaius novaehollandiae),– – ostriches; emu (Dromaius novaehollandiae),– – Strauße; Emu (Dromaius novaehollandiae),– – nojevi; emui (Dromaius novaehollandiae),– – nojevi; emui (Dromaius novaehollandiae),1,0106,kd,17%,,,,,true
0106,0106.39,0106.39.10,– – – golubovi,– – – pigeons,– – – Tauben,– – – golubovi,– – – golubovi,1,0106,kd,17%,,,,,true
0106,0106.39,0106.39.80,– – – ostale,– – – other,- - - andere,– – – ostale,– – – ostale,1,0106,–,17%,,,,,true
0106,0106.41,0106.41.00,– – pčele,– – bees,– – Bienen,– – pčele,– – pčele,1,0106,–,17%,,,,,true
0106,0106.49,0106.49.00,– – ostali,– – others,– – andere,– – ostali,– – ostali,1,0106,–,17%,,,,,true
0106,0106.90,0106.90.00,– ostale,– others,– andere,– ostale,– ostale,1,0106,–,17%,,,,,true
0201,0201.10,0201.10.00,– trupovi i polovine,– carcasses and halves,– Tierkörper und Hälften,– trupovi i polovine,– trupovi i polovine,2,0201,"10+2,5KM/kg",17%,,,,,true
0201,0201.20,0201.20.20,– – kompenzirane četvrtine,– – compensated quarters,– – vergütete Quartiere,– – kompenzirane četvrtine,– – kompenzirane četvrtine,2,0201,"10+2,5KM/kg",17%,,,,,true
0201,0201.20,0201.20.30,– – neraskomadane ili raskomadane prednje četvrtine,– – Uncut or cut forequarters,– – Unbeschnittene oder beschnittene Vorderläufe,– – neraskomadane ili raskomadane prednje četvrtine,– – neraskomadane ili raskomadane prednje četvrtine,2,0201,"10+2,5KM/kg",17%,,,,,true
0201,0201.20,0201.20.50,– – neraskomadane ili raskomadane stražnje četvrtine,– – hindquarters not dismembered or dismembered,– – Hinterviertel nicht zerstückelt oder zerstückelt,– – neraskomadane ili raskomadane stražnje četvrtine,– – neraskomadane ili raskomadane stražnje četvrtine,2,0201,–,17%,,,,,true
0201,0201.20,0201.20.90,– – ostali,– – others,– – andere,– – ostali,– – ostali,2,0201,–,17%,,,,,true
0201,0201.30,0201.30.00,– bez kostiju,– boneless,– ohne Knochen,– bez kostiju,– bez kostiju,2,0201,–,17%,,,,,true
0202,0202.10,0202.10.00,– trupovi i polovine,– carcasses and halves,– Tierkörper und Hälften,– trupovi i polovine,– trupovi i polovine,2,0202,–,17%,,,,,true
0202,0202.20,0202.20.10,– – kompenzirane četvrtine,– – compensated quarters,– – vergütete Quartiere,– – kompenzirane četvrtine,– – kompenzirane četvrtine,2,0202,–,17%,,,,,true
0202,0202.20,0202.20.30,– – neraskomadane ili raskomadane prednje četvrtine,– – Uncut or cut forequarters,– – Unbeschnittene oder beschnittene Vorderläufe,– – neraskomadane ili raskomadane prednje četvrtine,– – neraskomadane ili raskomadane prednje četvrtine,2,0202,–,17%,,,,,true
0202,0202.20,0202.20.50,– – neraskomadane ili raskomadane stražnje četvrtine,– – hindquarters not dismembered or dismembered,– – Hinterviertel nicht zerstückelt oder zerstückelt,– – neraskomadane ili raskomadane stražnje četvrtine,– – neraskomadane ili raskomadane stražnje četvrtine,2,0202,–,17%,,,,,true
0202,0202.20,0202.20.90,– – ostali,– – others,– – andere,– – ostali,– – ostali,2,0202,–,17%,,,,,true
0202,0202.30,0202.30.10,"– – prednje četvrtine, cijele ili raskomadane u najviše","– – forequarters, whole or cut into pieces at most","– – Vorderviertel, im Ganzen oder höchstens in Stücke zerteilt","– – prednje četvrtine, cijele ili raskomadane u najviše","– – prednje četvrtine, cijele ili raskomadane u najviše",2,0202,–,17%,,,,,true
0202,0202.30,0202.30.50,"– – dijelovi prednje četvrtine označeni kao „crop“,","– – parts of the forequarter marked “crop”,","– – Teile des Vorderviertels mit der Bezeichnung „Erbsenfeld“,","– – dijelovi prednje četvrtine označeni kao „crop“,","– – dijelovi prednje četvrtine označeni kao „crop“,",2,0202,–,17%,,,,,true
0202,0202.30,0202.30.90,– – ostalo (2)(3),– – other (2)(3),– – andere (2)(3),– – ostalo (2)(3),– – ostalo (2)(3),2,0202,–,17%,,,,,true
0203,0203.11,0203.11.10,– – – od domaćih svinja,– – – from domestic pigs,– – – von Hausschweinen,– – – od domaćih svinja,– – – od domaćih svinja,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.11,0203.11.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.12,0203.12.11,– – – – šunke i komadi od njih,– – – – hams and cuts thereof,– – – – Schinken und Teilstücke davon,– – – – šunke i komadi od njih,– – – – šunke i komadi od njih,2,0203,10+2KM/kg,17%,,,,,true
0203,0203.12,0203.12.19,– – – – plećke i komadi od njih,– – – – shoulders and pieces thereof,– – – – Schultern und Teile davon,– – – – plećke i komadi od njih,– – – – plećke i komadi od njih,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.12,0203.12.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.19,0203.19.11,– – – – prednji dijelovi i komadi od njih,– – – – front parts and pieces thereof,– – – – Vorderteile und deren Bestandteile,– – – – prednji dijelovi i komadi od njih,– – – – prednji dijelovi i komadi od njih,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.19,0203.19.13,"– – – – leđa i komadi od njih, sa kostima","– – – – back and pieces thereof, with bones","– – – – Rücken und Teile davon, mit Knochen","– – – – leđa i komadi od njih, sa kostima","– – – – leđa i komadi od njih, sa kostima",2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.19,0203.19.15,– – – – prsa sa potrbušinom (potrbušina) i njeni,– – – – brisket with belly (belly) and hers,– – – – Rinderbrust mit Bauchfleisch (Bauch) und ihr,– – – – prsa sa potrbušinom (potrbušina) i njeni,– – – – prsa sa potrbušinom (potrbušina) i njeni,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.19,0203.19.55,– – – – – bez kostiju,– – – – – without bones,– – – – – ohne Knochen,– – – – – bez kostiju,– – – – – bez kostiju,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.19,0203.19.59,– – – – – ostalo,– – – – – other,- - - - - andere,– – – – – ostalo,– – – – – ostalo,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.19,0203.19.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0203,"10+1,5KM/kg",17%,,,,,true
0203,0203.21,0203.21.10,– – – od domaćih svinja,– – – from domestic pigs,– – – von Hausschweinen,– – – od domaćih svinja,– – – od domaćih svinja,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.21,0203.21.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.22,0203.22.11,– – – – šunke i komadi od njih,– – – – hams and cuts thereof,– – – – Schinken und Teilstücke davon,– – – – šunke i komadi od njih,– – – – šunke i komadi od njih,2,0203,"10+2,4KM/kg",17%,,,,,true
0203,0203.22,0203.22.19,– – – – plećke i komadi od njih,– – – – shoulders and pieces thereof,– – – – Schultern und Teile davon,– – – – plećke i komadi od njih,– – – – plećke i komadi od njih,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.22,0203.22.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.29,0203.29.11,– – – – prednji dijelovi i komadi od njih,– – – – front parts and pieces thereof,– – – – Vorderteile und deren Bestandteile,– – – – prednji dijelovi i komadi od njih,– – – – prednji dijelovi i komadi od njih,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.29,0203.29.13,"– – – – leđa i komadi od njih, sa kostima","– – – – back and pieces thereof, with bones","– – – – Rücken und Teile davon, mit Knochen","– – – – leđa i komadi od njih, sa kostima","– – – – leđa i komadi od njih, sa kostima",2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.29,0203.29.15,– – – – prsa sa potrbušinom (potrbušina) i njeni,– – – – brisket with belly (belly) and hers,– – – – Rinderbrust mit Bauchfleisch (Bauch) und ihr,– – – – prsa sa potrbušinom (potrbušina) i njeni,– – – – prsa sa potrbušinom (potrbušina) i njeni,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.29,0203.29.55,– – – – – bez kostiju,– – – – – without bones,– – – – – ohne Knochen,– – – – – bez kostiju,– – – – – bez kostiju,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.29,0203.29.59,– – – – – ostalo,– – – – – other,- - - - - andere,– – – – – ostalo,– – – – – ostalo,2,0203,"10+1,2KM/kg",17%,,,,,true
0203,0203.29,0203.29.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0203,"10+1,2KM/kg",17%,,,,,true
0204,0204.10,0204.10.00,"– trupovi i polovine, janjeći, svježi ili rashlađeni","- lamb carcasses and halves, fresh or chilled","- Lammkarkassen und -hälften, frisch oder gekühlt","– trupovi i polovine, janjeći, svježi ili rashlađeni","– trupovi i polovine, janjeći, svježi ili rashlađeni",2,0204,10+2KM/kg,17%,,,,,true
0204,0204.21,0204.21.00,– – trupovi i polovine,– – Carcasses and halves,– – Kadaver und Hälften,– – trupovi i polovine,– – trupovi i polovine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.22,0204.22.10,– – – skraćene prednje četvrtine,– – – shortened forequarters,– – – verkürztes Vorderteil,– – – skraćene prednje četvrtine,– – – skraćene prednje četvrtine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.22,0204.22.30,– – – slabine i/ili podslabine,– – – loins and/or lower loins,– – – Lendenstücke und/oder untere Lendenstücke,– – – slabine i/ili podslabine,– – – slabine i/ili podslabine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.22,0204.22.50,– – – noge,– – – legs,- - - Beine,– – – noge,– – – noge,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.22,0204.22.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.23,0204.23.00,– – bez kostiju,– – boneless,– – ohne Knochen,– – bez kostiju,– – bez kostiju,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.41,0204.41.00,– – trupovi i polovine,– – Carcasses and halves,– – Kadaver und Hälften,– – trupovi i polovine,– – trupovi i polovine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.42,0204.42.10,– – – skraćene prednje četvrtine,– – – shortened forequarters,– – – verkürztes Vorderteil,– – – skraćene prednje četvrtine,– – – skraćene prednje četvrtine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.42,0204.42.30,– – – slabine i/ili podslabine,– – – loins and/or lower loins,– – – Lendenstücke und/oder untere Lendenstücke,– – – slabine i/ili podslabine,– – – slabine i/ili podslabine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.42,0204.42.50,– – – noge,– – – legs,- - - Beine,– – – noge,– – – noge,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.42,0204.42.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.43,0204.43.10,– – – janjeće,– – – lamb,- - - Lamm,– – – janjeće,– – – janjeće,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.43,0204.43.90,– – – ostalo,– – – other,- - - andere,– – – ostalo,– – – ostalo,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.11,– – – trupovi i polovine,– – – carcasses and halves,– – – Tierkörper und Hälften,– – – trupovi i polovine,– – – trupovi i polovine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.13,– – – skraćene prednje četvrtine,– – – shortened forequarters,– – – verkürztes Vorderteil,– – – skraćene prednje četvrtine,– – – skraćene prednje četvrtine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.15,– – – slabine i/ili podslabine,– – – loins and/or lower loins,– – – Lendenstücke und/oder untere Lendenstücke,– – – slabine i/ili podslabine,– – – slabine i/ili podslabine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.19,– – – noge,– – – legs,- - - Beine,– – – noge,– – – noge,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.31,– – – – komadi sa kostima,– – – – pieces with bones,– – – – Stücke mit Knochen,– – – – komadi sa kostima,– – – – komadi sa kostima,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.39,– – – – komadi bez kostiju,– – – – boneless pieces,– – – – Knochenlose Stücke,– – – – komadi bez kostiju,– – – – komadi bez kostiju,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.51,– – – trupovi i polovine,– – – carcasses and halves,– – – Tierkörper und Hälften,– – – trupovi i polovine,– – – trupovi i polovine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.53,– – – skraćene prednje četvrtine,– – – shortened forequarters,– – – verkürztes Vorderteil,– – – skraćene prednje četvrtine,– – – skraćene prednje četvrtine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.55,– – – slabine i/ili podslabine,– – – loins and/or lower loins,– – – Lendenstücke und/oder untere Lendenstücke,– – – slabine i/ili podslabine,– – – slabine i/ili podslabine,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.71,– – – – komadi sa kostima,– – – – pieces with bones,– – – – Stücke mit Knochen,– – – – komadi sa kostima,– – – – komadi sa kostima,2,0204,10+2KM/kg,17%,,,,,true
0204,0204.50,0204.50.79,– – – – komadi bez kostiju,– – – – boneless pieces,– – – – Knochenlose Stücke,– – – – komadi bez kostiju,– – – – komadi bez kostiju,2,0204,10+2KM/kg,17%,,,,,true
0205,0205.00,0205.00.20,– svježe ili rashlađeno,– fresh or chilled,– frisch oder gekühlt,– svježe ili rashlađeno,– svježe ili rashlađeno,2,0205,–,17%,,,,,true
0205,0205.00,0205.00.80,– smrznuto,– frozen,– gefroren,– smrznuto,– smrznuto,2,0205,–,17%,,,,,true
0206,0206.10,0206.10.10,– – za proizvodnju farmaceutskih proizvoda,– – for the production of pharmaceutical products,– – für die Herstellung von pharmazeutischen Produkten,– – za proizvodnju farmaceutskih proizvoda,– – za proizvodnju farmaceutskih proizvoda,2,0206,–,17%,,,,,true
0206,0206.10,0206.10.95,– – – mišična i tetivna dijafragma,– – – muscular and tendinous diaphragm,– – – Muskel- und Sehnenzwerchfell,– – – mišična i tetivna dijafragma,– – – mišična i tetivna dijafragma,2,0206,–,17%,,,,,true
0206,0206.10,0206.10.98,– – – ostali,– – – others,– – – andere,– – – ostali,– – – ostali,2,0206,–,17%,,,,,true
0206,0206.21,0206.21.00,– – jezici,– – languages,– – Sprachen,– – jezici,– – jezici,2,0206,–,17%,,,,,true
0206,0206.22,0206.22.00,– – džigerica,– – liver,- - Leber,– – džigerica,– – džigerica,2,0206,–,17%,,,,,true
0206,0206.29,0206.29.10,– – – za proizvodnju farmaceutskih proizvoda,– – – for the production of pharmaceutical products,– – – für die Herstellung von pharmazeutischen Produkten,– – – za proizvodnju farmaceutskih proizvoda,– – – za proizvodnju farmaceutskih proizvoda,2,0206,–,17%,,,,,true
0206,0206.29,0206.29.91,– – – – mišična i tetivna dijafragma,– – – – muscular and tendinous diaphragm,– – – – Muskel- und Sehnenzwerchfell,– – – – mišična i tetivna dijafragma,– – – – mišična i tetivna dijafragma,2,0206,–,17%,,,,,true
0206,0206.29,0206.29.99,– – – – ostali,– – – – others,– – – – andere,– – – – ostali,– – – – ostali,2,0206,–,17%,,,,,true
0206,0206.30,0206.30.00,"– od svinja, svježi ili rashlađeni","- from pigs, fresh or chilled","- vom Schwein, frisch oder gekühlt","– od svinja, svježi ili rashlađeni","– od svinja, svježi ili rashlađeni",2,0206,–,17%,,,,,true
0206,0206.41,0206.41.00,– – džigerica,– – liver,- - Leber,– – džigerica,– – džigerica,2,0206,–,17%,,,,,true
0206,0206.49,0206.49.00,– – ostali,– – others,– – andere,– – ostali,– – ostali,2,0206,–,17%,,,,,true
0206,0206.80,0206.80.10,– – za proizvodnju farmaceutskih proizvoda,– – for the production of pharmaceutical products,– – für die Herstellung von pharmazeutischen Produkten,– – za proizvodnju farmaceutskih proizvoda,– – za proizvodnju farmaceutskih proizvoda,2,0206,–,17%,,,,,true
0206,0206.80,0206.80.91,"– – – od konja, magaraca, mula i mazgi","– – – from horses, donkeys, mules and mules","– – – von Pferden, Eseln, Maultieren und Maultieren","– – – od konja, magaraca, mula i mazgi","– – – od konja, magaraca, mula i mazgi",2,0206,–,17%,,,,,true
0206,0206.80,0206.80.99,– – – od ovaca i koza,– – – of sheep and goats,– – – von Schafen und Ziegen,– – – od ovaca i koza,– – – od ovaca i koza,2,0206,–,17%,,,,,true
